timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/25 06:40:03.091, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.21 W
2026/09/25 06:40:03.291, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.21 W
2026/09/25 06:40:03.491, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.21 W
2026/09/25 06:40:03.691, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.21 W
2026/09/25 06:40:03.892, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.21 W
2026/09/25 06:40:04.092, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.19 W
2026/09/25 06:40:04.292, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.19 W
2026/09/25 06:40:04.493, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.19 W
2026/09/25 06:40:04.693, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.19 W
2026/09/25 06:40:04.893, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.19 W
2026/09/25 06:40:05.094, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.20 W
2026/09/25 06:40:05.294, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.20 W
2026/09/25 06:40:05.494, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.20 W
2026/09/25 06:40:05.694, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.20 W
2026/09/25 06:40:05.895, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.20 W
2026/09/25 06:40:06.095, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:40:06.295, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:40:06.496, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:40:06.696, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.25 W
2026/09/25 06:40:06.896, 0 %, 0 %, 46937 MiB, 49140 MiB, 28.25 W
2026/09/25 06:40:07.097, 56 %, 20 %, 46937 MiB, 49140 MiB, 47.25 W
2026/09/25 06:40:07.297, 56 %, 20 %, 46937 MiB, 49140 MiB, 47.25 W
2026/09/25 06:40:07.497, 7 %, 5 %, 46937 MiB, 49140 MiB, 83.71 W
2026/09/25 06:40:07.697, 7 %, 5 %, 46937 MiB, 49140 MiB, 83.71 W
2026/09/25 06:40:07.898, 7 %, 5 %, 46937 MiB, 49140 MiB, 83.71 W
2026/09/25 06:40:08.098, 0 %, 0 %, 46937 MiB, 49140 MiB, 199.49 W
2026/09/25 06:40:08.298, 0 %, 0 %, 46937 MiB, 49140 MiB, 199.49 W
2026/09/25 06:40:08.499, 100 %, 24 %, 46937 MiB, 49140 MiB, 253.37 W
2026/09/25 06:40:08.699, 100 %, 24 %, 46937 MiB, 49140 MiB, 253.37 W
2026/09/25 06:40:08.899, 100 %, 24 %, 46937 MiB, 49140 MiB, 253.37 W
